Champions Tour 2024: Americas Kickoff,LOUD vs Sentinels,2:3,Sentinels won
Champions Tour 2024: Americas Stage 1,100 Thieves vs G2 Esports,3:0,100 Thieves won
Champions Tour 2024: Americas Stage 2,G2 Esports vs LEVIATÁN,1:3,LEVIATÁN won
Champions Tour 2024: China Kickoff,FunPlus Phoenix vs EDward Gaming,1:3,EDward Gaming won
Champions Tour 2024: China Stage 1,FunPlus Phoenix vs EDward Gaming,1:3,EDward Gaming won
Champions Tour 2024: China Stage 2,EDward Gaming vs FunPlus Phoenix,3:2,EDward Gaming won
Champions Tour 2024: EMEA Kickoff,Team Heretics vs Karmine Corp,1:3,Karmine Corp won
Champions Tour 2024: EMEA Stage 1,Team Heretics vs FNATIC,2:3,FNATIC won
Champions Tour 2024: EMEA Stage 2,FNATIC vs Team Vitality,3:1,FNATIC won
Champions Tour 2024: Masters Madrid,Gen.G vs Sentinels,2:3,Sentinels won
Champions Tour 2024: Masters Shanghai,Gen.G vs Team Heretics,3:2,Gen.G won
Champions Tour 2024: Pacific Kickoff,Paper Rex vs Gen.G,1:3,Gen.G won
Champions Tour 2024: Pacific Stage 1,Paper Rex vs Gen.G,3:2,Paper Rex won
Champions Tour 2024: Pacific Stage 2,Gen.G vs DRX,3:1,Gen.G won
Valorant Champions 2024,EDward Gaming vs Team Heretics,3:2,EDward Gaming won
